Županije;County of;Towns/municipalities";Total: 2011;Men;Women;0-14;15+;Children 0-14;Employed;Unemployed;Inactive;Unknown;Children 0-14;Basic school and less;Secondary education;Higher education;Unknown;Total:2021;Men:2021;Women:2021;0-14:2021;15+:2021
Koprivničko-križevačka;Koprivnica-Križevci;Gornja Rijeka;1.779;881;898;351;1.428;351;692;129;607;-;351;891;499;36;2;1.559;783;776;249;1.310
Koprivničko-križevačka;Koprivnica-Križevci;Hlebine;1.304;643;661;198;1.106;198;447;76;583;-;198;676;375;55;-;1.180;572;608;197;983
Koprivničko-križevačka;Koprivnica-Križevci;Kalinovac;1.597;764;833;258;1.339;258;694;109;536;-;258;639;589;111;-;1.297;649;648;183;1.114
Koprivničko-križevačka;Koprivnica-Križevci;Kalnik;1.351;676;675;195;1.156;195;464;76;615;1;195;721;371;64;-;1.154;566;588;157;997
Koprivničko-križevačka;Koprivnica-Križevci;Kloštar Podravski;3.306;1.621;1.685;597;2.709;597;991;300;1.418;-;597;1.668;902;135;4;2.749;1.355;1.394;442;2.307
Koprivničko-križevačka;Koprivnica-Križevci;Koprivnica;30.854;14.609;16.245;4.688;26.166;4.688;11.850;2.006;12.306;4;4.688;7.779;13.475;4.901;11;28.580;13.520;15.060;4.033;24.547
Koprivničko-križevačka;Koprivnica-Križevci;Koprivnički Bregi;2.381;1.163;1.218;355;2.026;355;811;136;1.079;-;355;1.026;888;112;-;1.968;990;978;250;1.718
Koprivničko-križevačka;Koprivnica-Križevci;Koprivnički Ivanec;2.121;1.046;1.075;291;1.830;291;743;146;941;-;291;967;755;108;-;1.798;870;928;251;1.547
Koprivničko-križevačka;Koprivnica-Križevci;Križevci;21.122;10.270;10.852;3.258;17.864;3.258;7.645;1.200;9.009;10;3.258;7.286;8.249;2.292;37;18.949;9.202;9.747;2.665;16.284
Koprivničko-križevačka;Koprivnica-Križevci;Legrad;2.241;1.101;1.140;271;1.970;271;1.244;83;642;1;271;1.166;710;92;2;1.916;955;961;229;1.687
Koprivničko-križevačka;Koprivnica-Križevci;Molve;2.189;1.056;1.133;417;1.772;417;724;132;916;-;417;1.153;529;89;1;1.767;886;881;271;1.496
Koprivničko-križevačka;Koprivnica-Križevci;Novigrad Podravski;2.872;1.396;1.476;452;2.420;452;965;110;1.344;1;452;1.181;1.061;170;8;2.300;1.113;1.187;317;1.983
Koprivničko-križevačka;Koprivnica-Križevci;Novo Virje;1.216;583;633;209;1.007;209;458;63;486;-;209;703;272;32;-;1.026;518;508;160;866
Koprivničko-križevačka;Koprivnica-Križevci;Peteranec;2.704;1.343;1.361;487;2.217;487;968;202;1.045;2;487;1.235;856;124;2;2.300;1.142;1.158;389;1.911
Koprivničko-križevačka;Koprivnica-Križevci;Podravske Sesvete;1.630;780;850;260;1.370;260;621;81;668;-;260;839;481;50;-;1.446;710;736;205;1.241
Koprivničko-križevačka;Koprivnica-Križevci;Rasinja;3.267;1.588;1.679;513;2.754;513;1.009;276;1.469;-;513;1.559;1.049;146;-;2.631;1.295;1.336;369;2.262
Koprivničko-križevačka;Koprivnica-Križevci;Sokolovac;3.417;1.678;1.739;511;2.906;511;948;168;1.789;1;511;1.911;894;101;-;2.789;1.394;1.395;366;2.423
Koprivničko-križevačka;Koprivnica-Križevci;Sveti Ivan Žabno;5.222;2.554;2.668;810;4.412;810;1.967;263;2.171;11;810;2.567;1.630;203;12;4.343;2.084;2.259;682;3.661
Koprivničko-križevačka;Koprivnica-Križevci;Sveti Petar Orehovec;4.583;2.215;2.368;756;3.827;756;1.933;299;1.595;-;756;2.671;1.019;136;1;3.942;1.929;2.013;570;3.372
Koprivničko-križevačka;Koprivnica-Križevci;Virje;4.587;2.258;2.329;798;3.789;798;1.335;394;2.059;1;798;1.936;1.593;257;3;3.842;1.885;1.957;565;3.277
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Berek;1.443;727;716;235;1.208;235;372;71;765;-;235;811;363;34;-;1.106;553;553;162;944
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Bjelovar;40.276;19.189;21.087;6.149;34.127;6.149;14.235;3.030;16.797;65;6.149;11.396;17.866;4.737;128;36.316;17.345;18.971;5.242;31.074
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Čazma;8.077;3.976;4.101;1.260;6.817;1.260;3.219;527;3.071;-;1.260;3.135;3.152;529;1;6.930;3.402;3.528;1.052;5.878
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Daruvar;11.633;5.568;6.065;1.659;9.974;1.659;4.108;839;5.026;1;1.659;2.835;5.609;1.530;-;10.105;4.831;5.274;1.372;8.733
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Dežanovac;2.715;1.330;1.385;411;2.304;411;804;203;1.297;-;411;1.323;923;56;2;1.978;982;996;257;1.721
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Đulovac;3.245;1.685;1.560;718;2.527;718;1.015;301;1.211;-;718;1.747;720;40;20;2.772;1.484;1.288;564;2.208
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Garešnica;10.472;5.053;5.419;1.620;8.852;1.620;3.196;724;4.932;-;1.620;3.954;4.162;714;22;8.624;4.196;4.428;1.115;7.509
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Grubišno Polje;6.478;3.135;3.343;904;5.574;904;2.464;531;2.579;-;904;2.536;2.574;464;-;5.367;2.623;2.744;802;4.565
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Hercegovac;2.383;1.196;1.187;347;2.036;347;868;155;1.013;-;347;937;952;147;-;1.910;951;959;208;1.702
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Ivanska;2.911;1.465;1.446;437;2.474;437;1.159;152;1.163;-;437;1.511;852;109;2;2.256;1.159;1.097;293;1.963
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Kapela;2.984;1.457;1.527;469;2.515;469;883;265;1.367;-;469;1.531;886;96;2;2.367;1.180;1.187;345;2.022
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Končanica;2.360;1.158;1.202;301;2.059;301;1.027;132;900;-;301;1.052;920;85;2;1.805;894;911;187;1.618
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Nova Rača;3.433;1.695;1.738;518;2.915;518;1.310;283;1.322;-;518;1.664;1.117;133;1;2.756;1.356;1.400;390;2.366
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Rovišće;4.822;2.357;2.465;938;3.884;938;1.453;450;1.979;2;938;2.078;1.619;184;3;4.144;2.019;2.125;735;3.409
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Severin;877;426;451;121;756;121;313;60;383;-;121;428;314;14;-;702;356;346;88;614
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Sirač;2.218;1.083;1.135;299;1.919;299;731;161;1.027;-;299;871;951;97;-;1.796;904;892;231;1.565
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Šandrovac;1.776;866;910;297;1.479;297;832;61;586;-;297;970;478;31;-;1.411;675;736;218;1.193
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Štefanje;2.030;1.009;1.021;320;1.710;320;704;139;865;2;320;1.014;622;72;2;1.688;859;829;272;1.416
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Velika Pisanica;1.781;863;918;264;1.517;264;821;42;654;-;264;936;530;51;-;1.313;638;675;189;1.124
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Velika Trnovitica;1.370;699;671;209;1.161;209;430;80;651;-;209;681;421;59;-;1.091;563;528;150;941
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Veliki Grđevac;2.849;1.407;1.442;427;2.422;427;1.154;190;1.077;1;427;1.330;971;121;-;2.316;1.168;1.148;331;1.985
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Veliko Trojstvo;2.741;1.358;1.383;389;2.352;389;861;230;1.261;-;389;1.289;957;105;1;2.379;1.155;1.224;296;2.083
Bjelovarsko-bilogorska;Bjelovar-Bilogora;Zrinski Topolovac;890;431;459;149;741;149;343;81;317;-;149;564;159;18;-;747;351;396;154;593
Primorsko-goranska;Primorje-Gorski kotar;Bakar;8.279;4.062;4.217;1.169;7.110;1.169;3.254;572;3.280;4;1.169;1.758;4.275;1.065;12;7.573;3.674;3.899;983;6.590
Primorsko-goranska;Primorje-Gorski kotar;Baška;1.674;809;865;196;1.478;196;559;42;876;1;196;335;883;260;-;1.656;803;853;198;1.458
Primorsko-goranska;Primorje-Gorski kotar;Brod Moravice;866;429;437;99;767;99;258;59;449;1;99;289;386;88;4;663;333;330;79;584
Primorsko-goranska;Primorje-Gorski kotar;Cres;2.879;1.440;1.439;370;2.509;370;1.196;128;1.184;1;370;729;1.391;389;-;2.716;1.363;1.353;352;2.364
Primorsko-goranska;Primorje-Gorski kotar;Crikvenica;11.122;5.311;5.811;1.405;9.717;1.405;3.736;874;5.095;12;1.405;1.921;5.996;1.787;13;9.980;4.712;5.268;1.115;8.865
Primorsko-goranska;Primorje-Gorski kotar;Čabar;3.770;1.913;1.857;415;3.355;415;1.580;126;1.649;-;415;1.217;1.741;397;-;3.226;1.626;1.600;379;2.847
Primorsko-goranska;Primorje-Gorski kotar;Čavle;7.220;3.547;3.673;1.031;6.189;1.031;2.855;460;2.873;1;1.031;1.569;3.764;850;6;7.059;3.381;3.678;991;6.068
Primorsko-goranska;Primorje-Gorski kotar;Delnice;5.952;2.930;3.022;740;5.212;740;2.331;410;2.471;-;740;1.585;2.832;795;-;5.135;2.517;2.618;664;4.471
Primorsko-goranska;Primorje-Gorski kotar;Dobrinj;2.078;1.041;1.037;225;1.853;225;738;74;1.041;-;225;483;1.124;246;-;2.150;1.057;1.093;238;1.912
Primorsko-goranska;Primorje-Gorski kotar;Fužine;1.592;796;796;163;1.429;163;589;93;746;1;163;481;792;151;5;1.394;696;698;126;1.268
Primorsko-goranska;Primorje-Gorski kotar;Jelenje;5.344;2.660;2.684;744;4.600;744;2.147;320;2.133;-;744;1.333;2.768;479;20;5.096;2.504;2.592;710;4.386
Primorsko-goranska;Primorje-Gorski kotar;Kastav;10.440;5.140;5.300;1.555;8.885;1.555;4.376;602;3.907;-;1.555;1.567;5.188;2.126;4;10.202;4.987;5.215;1.501;8.701
Primorsko-goranska;Primorje-Gorski kotar;Klana;1.975;963;1.012;268;1.707;268;793;98;815;1;268;497;1.044;165;1;1.845;941;904;231;1.614
Primorsko-goranska;Primorje-Gorski kotar;Kostrena;4.180;2.057;2.123;554;3.626;554;1.693;264;1.669;-;554;583;1.969;1.072;2;4.398;2.137;2.261;649;3.749
Primorsko-goranska;Primorje-Gorski kotar;Kraljevica;4.618;2.238;2.380;599;4.019;599;1.831;250;1.890;48;599;775;2.443;746;55;4.066;1.959;2.107;469;3.597
Primorsko-goranska;Primorje-Gorski kotar;Krk;6.281;3.126;3.155;865;5.416;865;2.634;231;2.532;19;865;1.229;3.185;965;37;6.816;3.399;3.417;973;5.843
Primorsko-goranska;Primorje-Gorski kotar;Lokve;1.049;489;560;122;927;122;386;64;477;-;122;292;515;98;22;850;418;432;90;760
Primorsko-goranska;Primorje-Gorski kotar;Lopar;1.263;619;644;180;1.083;180;392;100;589;2;180;285;688;107;3;1.107;531;576;153;954
Primorsko-goranska;Primorje-Gorski kotar;Lovran;4.101;1.982;2.119;445;3.656;445;1.527;219;1.909;1;445;653;2.234;762;7;3.527;1.690;1.837;387;3.140
Primorsko-goranska;Primorje-Gorski kotar;Mali Lošinj;8.116;3.987;4.129;1.038;7.078;1.038;3.326;461;3.282;9;1.038;1.699;4.236;1.130;13;7.537;3.742;3.795;924;6.613
Primorsko-goranska;Primorje-Gorski kotar;Malinska-Dubašnica;3.134;1.512;1.622;436;2.698;436;1.092;144;1.462;-;436;556;1.635;504;3;3.212;1.543;1.669;453;2.759
Primorsko-goranska;Primorje-Gorski kotar;Matulji;11.246;5.475;5.771;1.486;9.760;1.486;4.687;678;4.394;1;1.486;1.970;6.064;1.721;5;10.773;5.188;5.585;1.473;9.300
Primorsko-goranska;Primorje-Gorski kotar;Mošćenička Draga;1.535;767;768;156;1.379;156;582;79;718;-;156;309;824;246;-;1.288;655;633;140;1.148
Primorsko-goranska;Primorje-Gorski kotar;Mrkopalj;1.214;621;593;123;1.091;123;404;51;636;-;123;438;556;96;1;924;451;473;81;843
Primorsko-goranska;Primorje-Gorski kotar;Novi Vinodolski;5.113;2.546;2.567;621;4.492;621;1.747;337;2.406;2;621;1.101;2.705;682;4;4.328;2.112;2.216;423;3.905
Primorsko-goranska;Primorje-Gorski kotar;Omišalj;2.983;1.505;1.478;321;2.662;321;1.337;194;1.131;-;321;468;1.588;605;1;2.992;1.460;1.532;448;2.544
Primorsko-goranska;Primorje-Gorski kotar;Opatija;11.659;5.381;6.278;1.251;10.408;1.251;4.398;721;5.139;150;1.251;1.495;5.972;2.783;158;10.619;4.934;5.685;1.272;9.347
Primorsko-goranska;Primorje-Gorski kotar;Punat;1.973;996;977;267;1.706;267;754;69;879;4;267;359;1.042;301;4;1.900;947;953;231;1.669
Primorsko-goranska;Primorje-Gorski kotar;Rab;8.065;3.965;4.100;1.142;6.923;1.142;2.880;455;3.584;4;1.142;1.540;4.522;856;5;7.161;3.445;3.716;949;6.212
Primorsko-goranska;Primorje-Gorski kotar;Ravna Gora;2.430;1.202;1.228;259;2.171;259;940;107;1.124;-;259;869;1.110;192;-;2.028;1.000;1.028;209;1.819
Primorsko-goranska;Primorje-Gorski kotar;Rijeka;128.624;60.951;67.673;14.965;113.659;14.965;50.494;8.761;54.340;64;14.965;23.176;63.298;27.040;145;107.964;50.453;57.511;12.467;95.497
Primorsko-goranska;Primorje-Gorski kotar;Skrad;1.062;517;545;95;967;95;385;40;542;-;95;343;517;107;-;858;420;438;87;771
Primorsko-goranska;Primorje-Gorski kotar;Vinodolska općina;3.577;1.786;1.791;443;3.134;443;1.272;294;1.568;-;443;792;1.984;358;-;3.226;1.618;1.608;362;2.864
Primorsko-goranska;Primorje-Gorski kotar;Viškovo;14.445;7.161;7.284;2.487;11.958;2.487;6.262;1.006;4.685;5;2.487;2.262;7.384;2.247;65;16.084;7.832;8.252;2.759;13.325
Primorsko-goranska;Primorje-Gorski kotar;Vrbnik;1.260;644;616;163;1.097;163;478;30;589;-;163;317;608;171;1;1.190;592;598;168;1.022
Primorsko-goranska;Primorje-Gorski kotar;Vrbovsko;5.076;2.517;2.559;569;4.507;569;1.610;449;2.448;-;569;1.647;2.405;449;6;3.876;1.934;1.942;324;3.552
Ličko-senjska;Lika-Senj;Brinje;3.256;1.609;1.647;441;2.815;441;702;247;1.866;-;441;1.680;1.052;82;1;2.563;1.300;1.263;281;2.282
Ličko-senjska;Lika-Senj;Donji Lapac;2.113;1.063;1.050;178;1.935;178;397;153;1.385;-;178;873;902;160;-;1.366;683;683;122;1.244
Ličko-senjska;Lika-Senj;Gospić;12.745;6.332;6.413;2.021;10.724;2.021;4.183;501;6.037;3;2.021;3.609;5.555;1.556;4;11.502;5.682;5.820;1.663;9.839
Ličko-senjska;Lika-Senj;Karlobag;917;454;463;87;830;87;204;21;605;-;87;329;418;80;3;780;389;391;59;721
Ličko-senjska;Lika-Senj;Lovinac;1.007;522;485;128;879;128;195;54;630;-;128;437;388;54;-;943;482;461;117;826
Ličko-senjska;Lika-Senj;Novalja;3.663;1.857;1.806;540;3.123;540;1.134;170;1.819;-;540;997;1.758;367;1;3.680;1.829;1.851;503;3.177
Ličko-senjska;Lika-Senj;Otočac;9.778;4.890;4.888;1.320;8.458;1.320;2.877;659;4.920;2;1.320;3.458;4.117;799;84;8.332;4.093;4.239;1.070;7.262
Ličko-senjska;Lika-Senj;Perušić;2.638;1.327;1.311;292;2.346;292;600;101;1.644;1;292;1.331;862;153;-;1.973;1.021;952;220;1.753
Ličko-senjska;Lika-Senj;Plitvička Jezera;4.373;2.137;2.236;759;3.614;759;1.435;248;1.931;-;759;1.393;1.862;359;-;3.649;1.755;1.894;503;3.146
Ličko-senjska;Lika-Senj;Senj;7.182;3.547;3.635;856;6.326;856;2.251;548;3.525;2;856;2.146;3.377;798;5;5.973;2.963;3.010;614;5.359
Ličko-senjska;Lika-Senj;Udbina;1.874;929;945;203;1.671;203;530;114;1.027;-;203;888;675;107;1;1.334;675;659;139;1.195
Ličko-senjska;Lika-Senj;Vrhovine;1.381;680;701;100;1.281;100;157;127;996;1;100;596;593;90;2;653;320;333;65;588
Virovitičko-podravska;Virovitica-Podravina;Crnac;1.456;716;740;221;1.235;221;294;117;824;-;221;734;464;37;-;1.116;555;561;144;972
Virovitičko-podravska;Virovitica-Podravina;Čačinci;2.802;1.331;1.471;396;2.406;396;721;229;1.456;-;396;1.058;1.192;156;-;2.162;1.038;1.124;277;1.885
Virovitičko-podravska;Virovitica-Podravina;Čađavica;2.009;996;1.013;307;1.702;307;498;135;1.069;-;307;970;683;49;-;1.555;776;779;187;1.368
Virovitičko-podravska;Virovitica-Podravina;Gradina;3.850;1.883;1.967;641;3.209;641;861;290;2.056;2;641;1.924;1.174;103;8;2.874;1.426;1.448;372;2.502
Virovitičko-podravska;Virovitica-Podravina;Lukač;3.634;1.778;1.856;546;3.088;546;966;295;1.819;8;546;1.690;1.281;97;20;2.759;1.358;1.401;376;2.383
Virovitičko-podravska;Virovitica-Podravina;Mikleuš;1.464;724;740;253;1.211;253;327;156;728;-;253;660;495;56;-;1.067;533;534;143;924
Virovitičko-podravska;Virovitica-Podravina;Nova Bukovica;1.771;897;874;265;1.506;265;346;151;1.009;-;265;808;644;54;-;1.275;650;625;149;1.126
Virovitičko-podravska;Virovitica-Podravina;Orahovica;5.304;2.532;2.772;788;4.516;788;1.713;329;2.473;1;788;1.442;2.443;630;1;4.537;2.191;2.346;637;3.900
Virovitičko-podravska;Virovitica-Podravina;Pitomača;10.059;4.819;5.240;1.710;8.349;1.710;2.892;629;4.827;1;1.710;4.860;3.047;441;1;8.402;3.991;4.411;1.191;7.211
Virovitičko-podravska;Virovitica-Podravina;Slatina;13.686;6.603;7.083;2.169;11.517;2.169;3.993;1.352;6.171;1;2.169;4.238;6.052;1.221;6;11.503;5.508;5.995;1.638;9.865
Virovitičko-podravska;Virovitica-Podravina;Sopje;2.320;1.147;1.173;331;1.989;331;564;191;1.234;-;331;1.294;654;41;-;1.897;942;955;265;1.632
Virovitičko-podravska;Virovitica-Podravina;Suhopolje;6.683;3.213;3.470;951;5.732;951;1.477;474;3.775;6;951;3.196;2.270;247;19;5.267;2.521;2.746;707;4.560
Virovitičko-podravska;Virovitica-Podravina;Špišić Bukovica;4.221;2.036;2.185;705;3.516;705;1.141;290;2.085;-;705;2.196;1.214;106;-;3.303;1.583;1.720;463;2.840
Virovitičko-podravska;Virovitica-Podravina;Virovitica;21.291;10.223;11.068;3.280;18.011;3.280;7.382;1.617;9.010;2;3.280;5.819;9.712;2.475;5;19.302;9.208;10.094;2.766;16.536
Virovitičko-podravska;Virovitica-Podravina;Voćin;2.382;1.224;1.158;626;1.756;626;398;256;1.102;-;626;1.152;537;67;-;1.896;1.002;894;449;1.447
Virovitičko-podravska;Virovitica-Podravina;Zdenci;1.904;895;1.009;303;1.601;303;511;151;939;-;303;752;746;102;1;1.453;707;746;161;1.292
Požeško-slavonska;Požega-Slavonia;Brestovac;3.726;1.824;1.902;649;3.077;649;1.023;215;1.839;-;649;1.558;1.344;173;2;2.980;1.467;1.513;424;2.556
Požeško-slavonska;Požega-Slavonia;Čaglin;2.723;1.349;1.374;368;2.355;368;516;127;1.712;-;368;1.528;724;98;5;2.111;1.095;1.016;283;1.828
Požeško-slavonska;Požega-Slavonia;Jakšić;4.058;1.975;2.083;758;3.300;758;1.159;256;1.885;-;758;1.317;1.688;295;-;3.371;1.639;1.732;571;2.800
Požeško-slavonska;Požega-Slavonia;Kaptol;3.472;1.734;1.738;689;2.783;689;879;298;1.605;1;689;1.378;1.258;145;2;2.605;1.314;1.291;351;2.254
Požeško-slavonska;Požega-Slavonia;Kutjevo;6.247;3.076;3.171;1.096;5.151;1.096;1.691;453;3.005;2;1.096;2.611;2.180;357;3;4.870;2.392;2.478;686;4.184
Požeško-slavonska;Požega-Slavonia;Lipik;6.170;2.949;3.221;955;5.215;955;1.742;464;3.007;2;955;2.435;2.392;384;4;5.127;2.485;2.642;768;4.359
Požeško-slavonska;Požega-Slavonia;Pakrac;8.460;4.021;4.439;1.336;7.124;1.336;2.415;574;4.131;4;1.336;2.931;3.505;684;4;7.086;3.355;3.731;994;6.092
Požeško-slavonska;Požega-Slavonia;Pleternica;11.323;5.620;5.703;2.035;9.288;2.035;2.837;837;5.613;1;2.035;4.497;4.142;575;74;9.138;4.551;4.587;1.348;7.790
Požeško-slavonska;Požega-Slavonia;Požega;26.248;12.549;13.699;4.185;22.063;4.185;8.235;2.005;11.812;11;4.185;7.112;11.451;3.479;21;22.294;10.687;11.607;3.041;19.253
Požeško-slavonska;Požega-Slavonia;Velika;5.607;2.750;2.857;1.071;4.536;1.071;1.451;498;2.585;2;1.071;2.152;2.068;308;8;4.502;2.215;2.287;686;3.816
Brodsko-posavska;Slavonski Brod-Posavina;Bebrina;3.252;1.627;1.625;662;2.590;662;944;313;1.333;-;662;1.408;1.093;89;-;2.817;1.421;1.396;483;2.334
Brodsko-posavska;Slavonski Brod-Posavina;Brodski Stupnik;3.036;1.485;1.551;502;2.534;502;797;234;1.503;-;502;1.021;1.377;136;-;2.357;1.168;1.189;350;2.007
Brodsko-posavska;Slavonski Brod-Posavina;Bukovlje;3.108;1.524;1.584;587;2.521;587;852;309;1.360;-;587;956;1.406;159;-;2.727;1.380;1.347;386;2.341
Brodsko-posavska;Slavonski Brod-Posavina;Cernik;3.640;1.813;1.827;595;3.045;595;773;428;1.844;-;595;1.500;1.372;173;-;2.964;1.479;1.485;383;2.581
Brodsko-posavska;Slavonski Brod-Posavina;Davor;3.015;1.541;1.474;564;2.451;564;704;266;1.481;-;564;1.401;964;83;3;2.529;1.279;1.250;394;2.135
Brodsko-posavska;Slavonski Brod-Posavina;Donji Andrijevci;3.709;1.853;1.856;618;3.091;618;965;332;1.794;-;618;1.374;1.557;160;-;3.059;1.517;1.542;469;2.590
Brodsko-posavska;Slavonski Brod-Posavina;Dragalić;1.361;701;660;253;1.108;253;283;164;661;-;253;515;538;55;-;1.058;538;520;158;900
Brodsko-posavska;Slavonski Brod-Posavina;Garčin;4.806;2.436;2.370;809;3.997;809;1.186;427;2.384;-;809;1.841;1.957;198;1;3.951;1.998;1.953;560;3.391
Brodsko-posavska;Slavonski Brod-Posavina;Gornja Vrba;2.512;1.252;1.260;513;1.999;513;641;245;1.113;-;513;857;1.046;96;-;2.168;1.116;1.052;332;1.836
Brodsko-posavska;Slavonski Brod-Posavina;Gornji Bogićevci;1.975;1.002;973;324;1.651;324;384;264;1.003;-;324;939;649;62;1;1.428;714;714;182;1.246
Brodsko-posavska;Slavonski Brod-Posavina;Gundinci;2.027;1.025;1.002;462;1.565;462;404;142;1.019;-;462;988;519;58;-;1.610;830;780;280;1.330
Brodsko-posavska;Slavonski Brod-Posavina;Klakar;2.319;1.149;1.170;410;1.909;410;664;212;1.033;-;410;825;972;112;-;2.020;1.025;995;321;1.699
Brodsko-posavska;Slavonski Brod-Posavina;Nova Gradiška;14.229;6.717;7.512;2.275;11.954;2.275;3.766;1.587;6.601;-;2.275;3.960;6.485;1.491;18;11.690;5.434;6.256;1.562;10.128
